date,BA,AIR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-01-04,202.72,89.89,2.255200800978974,,,,,0,0.0,0.0,0.0
2021-01-05,211.63,89.83,2.3558944673271736,,,,,0,0.0,0.0,0.0
2021-01-06,211.03,90.17,2.340357103249418,,,,,0,0.0,0.0,0.0
2021-01-07,212.71,89.62,2.3734657442535148,,,,,0,0.0,0.0,0.0
2021-01-08,209.9,90.1,2.3296337402885685,2.33091037121953,,,,0,0.0,0.0,0.0
2021-01-11,206.79,89.78,2.303296948095344,2.340529600642804,,,,0,0.0,0.0,0.0
2021-01-12,208.41,89.96,2.316696309470876,2.332689969071544,,,,0,0.0,0.0,0.0
2021-01-13,207.21,89.11,2.325328245988105,2.3296841976192817,,,,0,0.0,0.0,0.0
2021-01-14,209.91,93.25,2.2510455764075066,2.3052001640500803,,,,0,0.0,0.0,0.0
2021-01-15,204.32,92.55,2.2076715289032953,2.280807721773025,,,,0,0.0,0.0,0.0
2021-01-19,210.71,91.3,2.3078860898138007,2.281725550116717,,,,0,0.0,0.0,0.0
2021-01-20,211.45,92.41,2.288172275727735,2.2760207433680884,,,,0,0.0,0.0,0.0
2021-01-21,207.41,89.36,2.3210608773500447,2.2751672696404768,,,,0,0.0,0.0,0.0
2021-01-22,205.84,88.83,2.317235168298998,2.288405188018775,,,,0,0.0,0.0,0.0
2021-01-25,203.36,84.87,2.396135265700483,2.3260979353782125,,,,0,0.0,0.0,0.0
2021-01-26,202.06,85.29,2.3690936803845704,2.338339453492366,,,,0,0.0,0.0,0.0
2021-01-27,194.03,84.36,2.3000237079184447,2.340709739930508,,,,0,0.0,0.0,0.0
2021-01-28,197.23,85.15,2.3162654139753376,2.3397506472555665,,,,0,0.0,0.0,0.0
2021-01-29,194.19,83.2,2.334014423076923,2.3431064982111516,,,,0,0.0,0.0,0.0
2021-02-01,195.84,83.11,2.356395138972446,2.3351584728655443,,,,0,0.0,0.0,0.0
2021-02-02,200.94,88.59,2.2682018286488317,2.3149801025183967,,,,0,0.0,0.0,0.0
2021-02-03,207.39,89.81,2.3092083286939094,2.3168170266734895,,,,0,0.0,0.0,0.0
2021-02-04,210.64,93.1,2.262513426423201,2.3060666291630625,,,,0,0.0,0.0,0.0
2021-02-05,207.93,93.42,2.2257546563904946,2.2844146758257766,,,,0,0.0,0.0,0.0
2021-02-08,211.95,93.87,2.2579098753595397,2.2647176231031954,,,,0,0.0,0.0,0.0
2021-02-09,215.12,92.47,2.326376121985509,2.2763524817705307,,,,0,0.0,0.0,0.0
2021-02-10,211.92,91.69,2.3112662231431997,2.276764060660389,,,,0,0.0,0.0,0.0
2021-02-11,210.66,91.22,2.3093619820214863,2.286133771780046,,,,0,0.0,0.0,0.0
2021-02-12,210.98,92.21,2.2880381737338684,2.2985904752487203,,,,0,0.0,0.0,0.0
2021-02-16,217.18,93.8,2.315351812366738,2.3100788626501605,,,,0,0.0,0.0,0.0
2021-02-17,215.52,93.9,2.2952076677316295,2.3038451717993844,,,,0,0.0,0.0,0.0
2021-02-18,208.48,91.29,2.2837112498630736,2.298334177143359,,,,0,0.0,0.0,0.0
2021-02-19,217.47,91.77,2.3697286694998367,2.3104075146390293,,,,0,0.0,0.0,0.0
2021-02-22,212.88,95.8,2.2221294363256785,2.2972257671573915,,,,0,0.0,0.0,0.0
2021-02-23,212.12,98.95,2.1437089439110664,2.262897193466257,,,,0,0.0,0.0,0.0
2021-02-24,229.34,102.72,2.232671339563863,2.2503899278327038,,,,0,0.0,0.0,0.0
2021-02-25,216.45,98.93,2.1879106438896185,2.2312298066380127,,,,0,0.0,0.0,0.0
2021-02-26,212.01,95.91,2.2105098529871756,2.1993860433354806,,,,0,0.0,0.0,0.0
2021-03-01,224.39,100.68,2.2287445371473975,2.2007090634998243,,,,0,0.0,0.0,0.0
2021-03-02,223.14,99.1,2.251664984863774,2.222300271690366,,,,0,0.0,0.0,0.0
2021-03-03,228.56,100.46,2.27513438184352,2.2307928801462973,,,,0,0.0,0.0,0.0
2021-03-04,224.71,100.3,2.240378863409771,2.2412865240503277,,,,0,0.0,0.0,0.0
2021-03-05,223.22,95.42,2.3393418570530287,2.2670529248634983,,,,0,0.0,0.0,0.0
2021-03-08,224.03,100.52,2.2287107043374452,2.2670461583015076,,,,0,0.0,0.0,0.0
2021-03-09,230.61,100.26,2.3001196888090965,2.276737099090572,,,,0,0.0,0.0,0.0
2021-03-10,245.34,98.99,2.478432164865138,2.3173966556948957,,,,0,0.0,0.0,0.0
2021-03-11,252.0,99.13,2.5421164127912843,2.3777441655711984,,,,0,0.0,0.0,0.0
2021-03-12,269.19,100.0,2.6919,2.448255794160593,,,,0,0.0,0.0,0.0
2021-03-15,265.63,100.0,2.6563,2.5337736532931037,,,,0,0.0,0.0,0.0
2021-03-16,255.21,101.78,2.5074670858714874,2.575243132705582,,,,0,0.0,0.0,0.0
2021-03-17,263.59,101.0,2.6098019801980197,2.6015170957721585,,,,0,0.0,0.0,0.0
2021-03-18,256.06,101.1,2.5327398615232446,2.5996417855185507,,,,0,0.0,0.0,0.0
2021-03-19,255.82,97.34,2.6281076638586396,2.5868833182902784,,,,0,0.0,0.0,0.0
2021-03-22,251.23,97.07,2.588132275677346,2.5732497734257476,,,,0,0.0,0.0,0.0
2021-03-23,241.25,95.21,2.533872492385254,2.5785308547285006,,,,0,0.0,0.0,0.0
2021-03-24,239.24,95.97,2.492862352818589,2.5551429292526144,,,,0,0.0,0.0,0.0
2021-03-25,247.19,96.49,2.5618198777075345,2.5609589324894726,,,,0,0.0,0.0,0.0
2021-03-26,244.87,97.68,2.5068591318591316,2.536709226089571,,,,0,0.0,0.0,0.0
2021-03-29,250.52,97.4,2.5720739219712527,2.5334975553483523,,,,0,0.0,0.0,0.0
2021-03-30,252.01,97.7,2.57942681678608,2.5426084202285177,2.358840663241622,0.13257198061283265,1.3861734292374868,-2,1.0,0.0,0.0
2021-03-31,254.72,96.54,2.638491816863476,2.571734313037495,2.365228846839697,0.13666484339956309,1.5110357650214659,1,0.99988,-0.0011777638190954773,0.0031075201988812924
2021-04-01,252.96,100.42,2.5190201155148375,2.5631743605989556,2.367947607642825,0.13809113975957116,1.4137529264805668,-2,1.0140100426932674,-0.0011777638190954773,0.0031075201988812924
2021-04-05,259.36,100.42,2.5827524397530373,2.578353022177737,2.371987529917885,0.14078961534626766,1.465772115026399,-2,1.0064723542510563,-0.0011777638190954773,0.0031075201988812924
2021-04-06,255.17,100.7,2.533962264150943,2.570730690613675,2.3746624719161753,0.14233438440792803,1.3775182961804313,-2,1.0122772903087531,-0.0011777638190954773,0.0031075201988812924
2021-04-07,252.58,100.54,2.5122339367415956,2.557292114604778,2.3777058085237264,0.14330411833071413,1.2531831476511113,-2,1.0148304953683895,-0.0011777638190954773,0.0031075201988812924
2021-04-08,254.95,100.8,2.529265873015873,2.535446925835257,2.3814719572724017,0.14428143939953156,1.0671848659374785,-2,1.0128471503688423,-0.0011777638190954773,0.0031075201988812924
2021-04-09,252.36,101.1,2.4961424332344215,2.530871389379174,2.384462726001794,0.1447749652491421,1.0112843966180667,-2,1.016829814719964,-0.0011777638190954773,0.0031075201988812924
2021-04-12,249.52,99.9,2.4976976976976974,2.5138604409681067,2.3873355501969535,0.1452909254557572,0.870838219071579,0,1.0163247763483356,0.0,0.0
2021-04-13,253.27,98.4,2.573882113821138,2.521844410902145,2.3927161591538475,0.14613352000344731,0.8836319808436236,0,1.0163247763483356,0.0,0.0
