date,C,WFC,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-01-04,60.14,29.7,2.024915824915825,,,,,0,0.0,0.0,0.0
2021-01-05,61.7,30.53,2.02096298722568,,,,,0,0.0,0.0,0.0
2021-01-06,65.25,32.69,1.9960232486999083,,,,,0,0.0,0.0,0.0
2021-01-07,66.02,33.43,1.9748728686808255,,,,,0,0.0,0.0,0.0
2021-01-08,65.37,33.19,1.9695691473335344,1.9972688153711544,,,,0,0.0,0.0,0.0
2021-01-11,66.44,33.24,1.9987966305655835,1.9920449765011063,,,,0,0.0,0.0,0.0
2021-01-12,66.67,33.94,1.9643488509133766,1.9807221492386458,,,,0,0.0,0.0,0.0
2021-01-13,66.86,33.8,1.9781065088757397,1.9771388012738118,,,,0,0.0,0.0,0.0
2021-01-14,69.01,34.75,1.9858992805755398,1.9793440836527547,,,,0,0.0,0.0,0.0
2021-01-15,64.23,32.04,2.004681647940075,1.986366583774063,,,,0,0.0,0.0,0.0
2021-01-19,63.69,32.63,1.9518847686178362,1.9769842113845137,,,,0,0.0,0.0,0.0
2021-01-20,63.25,32.46,1.9485520640788663,1.9738248540176115,,,,0,0.0,0.0,0.0
2021-01-21,61.87,32.0,1.9334375,1.9648910522424636,,,,0,0.0,0.0,0.0
2021-01-22,61.33,31.9,1.9225705329153606,1.9522253027104277,,,,0,0.0,0.0,0.0
2021-01-25,60.56,32.24,1.878411910669975,1.9269713552564078,,,,0,0.0,0.0,0.0
2021-01-26,60.91,31.38,1.9410452517527086,1.9248034518833819,,,,0,0.0,0.0,0.0
2021-01-27,59.4,30.17,1.9688432217434535,1.9288616834162995,,,,0,0.0,0.0,0.0
2021-01-28,60.34,30.81,1.9584550470626423,1.933865192828828,,,,0,0.0,0.0,0.0
2021-01-29,57.99,29.88,1.9407630522088355,1.9375036966875232,,,,0,0.0,0.0,0.0
2021-02-01,58.43,29.99,1.9483161053684563,1.9514845356272192,,,,0,0.0,0.0,0.0
2021-02-02,59.58,30.75,1.937560975609756,1.9507876803986288,,,,0,0.0,0.0,0.0
2021-02-03,61.1,31.7,1.9274447949526814,1.9425079950404744,,,,0,0.0,0.0,0.0
2021-02-04,62.41,32.66,1.9109001837109616,1.932997022370138,,,,0,0.0,0.0,0.0
2021-02-05,62.58,32.56,1.9219901719901717,1.9292424463264055,,,,0,0.0,0.0,0.0
2021-02-08,63.65,33.4,1.9056886227544911,1.9207169498036123,,,,0,0.0,0.0,0.0
2021-02-09,63.12,33.26,1.8977751052315093,1.912759775727963,,,,0,0.0,0.0,0.0
2021-02-10,63.62,33.2,1.9162650602409637,1.9105238287856197,,,,0,0.0,0.0,0.0
2021-02-11,63.2,32.72,1.9315403422982886,1.914651860503085,,,,0,0.0,0.0,0.0
2021-02-12,63.63,33.53,1.8977035490605427,1.9097945359171589,,,,0,0.0,0.0,0.0
