date,JNJ,ABT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2010-01-04,64.68,54.46,1.187660668380463,,,,,0,0.0,0.0,0.0
2010-01-05,63.93,54.02,1.1834505738615326,,,,,0,0.0,0.0,0.0
2010-01-06,64.45,54.32,1.1864874815905744,,,,,0,0.0,0.0,0.0
2010-01-07,63.99,54.77,1.1683403322987036,,,,,0,0.0,0.0,0.0
2010-01-08,64.21,55.05,1.166394187102634,1.1784666486467814,,,,0,0.0,0.0,0.0
2010-01-11,64.22,55.33,1.1606723296584132,1.1730689809023715,,,,0,0.0,0.0,0.0
2010-01-12,64.56,55.17,1.1702011963023382,1.1704191053905326,,,,0,0.0,0.0,0.0
2010-01-13,64.97,55.29,1.1750768674262977,1.1681369825576773,,,,0,0.0,0.0,0.0
2010-01-14,65.1,55.35,1.1761517615176151,1.1696992684014595,,,,0,0.0,0.0,0.0
2010-01-15,64.56,55.49,1.1634528743917822,1.1691110058592893,,,,0,0.0,0.0,0.0
2010-01-19,65.35,56.2,1.1628113879003557,1.1695388175076777,,,,0,0.0,0.0,0.0
2010-01-20,65.15,56.24,1.1584281650071124,1.1671842112486328,,,,0,0.0,0.0,0.0
2010-01-21,63.97,55.56,1.1513678905687543,1.1624424158771238,,,,0,0.0,0.0,0.0
2010-01-22,63.2,54.51,1.1594202898550725,1.1590961215446154,,,,0,0.0,0.0,0.0
2010-01-25,63.22,54.7,1.1557586837294331,1.1575572834121455,,,,0,0.0,0.0,0.0
2010-01-26,62.79,54.48,1.1525330396475773,1.1555016137615899,,,,0,0.0,0.0,0.0
2010-01-27,63.44,53.9,1.1769944341372913,1.1592148675876257,,,,0,0.0,0.0,0.0
2010-01-28,63.8,53.95,1.1825764596848933,1.1654565814108535,,,,0,0.0,0.0,0.0
2010-01-29,62.86,52.94,1.1873819418209295,1.1710489118040248,,,,0,0.0,0.0,0.0
2010-02-01,63.09,53.34,1.1827896512935883,1.176455105316856,,,,0,0.0,0.0,0.0
2010-02-02,63.99,54.44,1.1754224834680382,1.181032994080948,,,,0,0.0,0.0,0.0
2010-02-03,63.63,54.65,1.1643183897529736,1.1784977852040845,,,,0,0.0,0.0,0.0
2010-02-04,62.64,53.82,1.1638795986622075,1.1747584129995474,,,,0,0.0,0.0,0.0
2010-02-05,62.64,53.97,1.160644802668149,1.1694109851689913,,,,0,0.0,0.0,0.0
2010-02-08,62.37,53.35,1.1690721649484535,1.1666674878999643,,,,0,0.0,0.0,0.0
2010-02-09,62.76,53.35,1.1763823805060918,1.166859467307575,,,,0,0.0,0.0,0.0
2010-02-10,62.73,53.26,1.1778069846038302,1.1695571862777463,,,,0,0.0,0.0,0.0
2010-02-11,62.91,53.54,1.175009338812103,1.1717831343077254,,,,0,0.0,0.0,0.0
2010-02-12,62.72,53.93,1.1629890598924533,1.1722519857525864,,,,0,0.0,0.0,0.0
