date,MSFT,AAPL,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-01-04,217.69,129.41,1.6821729387218918,,,,,0,0.0,0.0,0.0
2021-01-05,217.9,131.01,1.6632318143653158,,,,,0,0.0,0.0,0.0
2021-01-06,212.25,126.6,1.6765402843601898,,,,,0,0.0,0.0,0.0
2021-01-07,218.29,130.92,1.667354109379774,,,,,0,0.0,0.0,0.0
2021-01-08,219.62,132.05,1.663157894736842,1.6704914083128029,,,,0,0.0,0.0,0.0
2021-01-11,217.49,128.98,1.6862304233214453,1.6713029052327133,,,,0,0.0,0.0,0.0
2021-01-12,214.93,128.8,1.6687111801242236,1.6723987783844947,,,,0,0.0,0.0,0.0
2021-01-13,216.34,130.89,1.6528382611353047,1.6676583737395176,,,,0,0.0,0.0,0.0
2021-01-14,213.02,128.91,1.6524707160034133,1.664681695064246,,,,0,0.0,0.0,0.0
2021-01-15,212.65,127.14,1.6725656756331604,1.6665632512435096,,,,0,0.0,0.0,0.0
2021-01-19,216.44,127.83,1.6931862630055543,1.6679544191803313,,,,0,0.0,0.0,0.0
2021-01-20,224.34,132.03,1.699159281981368,1.6740440395517602,,,,0,0.0,0.0,0.0
2021-01-21,224.97,136.87,1.6436764813326514,1.6722116835912295,,,,0,0.0,0.0,0.0
2021-01-22,225.95,139.07,1.6247213633422017,1.6666618130589872,,,,0,0.0,0.0,0.0
2021-01-25,229.53,142.92,1.6060033585222504,1.6533493496368052,,,,0,0.0,0.0,0.0
2021-01-26,232.33,143.16,1.6228695166247555,1.6392860003606455,,,,0,0.0,0.0,0.0
2021-01-27,232.9,142.06,1.6394481205124596,1.6273437680668636,,,,0,0.0,0.0,0.0
2021-01-28,238.93,137.09,1.7428696476767087,1.6471824013356753,,,,0,0.0,0.0,0.0
2021-01-29,231.96,131.96,1.7578053955744164,1.6737992077821182,,,,0,0.0,0.0,0.0
2021-02-01,239.65,134.14,1.7865662740420458,1.7099117908860773,,,,0,0.0,0.0,0.0
2021-02-02,239.51,134.99,1.7742795762649084,1.7401938028141077,,,,0,0.0,0.0,0.0
2021-02-03,243.0,133.94,1.8142451844109302,1.775153215593802,,,,0,0.0,0.0,0.0
2021-02-04,242.01,137.39,1.7614819128029697,1.778875668619054,,,,0,0.0,0.0,0.0
2021-02-05,242.2,136.76,1.7709856683240714,1.781511723168985,,,,0,0.0,0.0,0.0
2021-02-08,242.47,136.91,1.771017456723395,1.778401959705255,,,,0,0.0,0.0,0.0
2021-02-09,243.77,136.01,1.7922946842143963,1.7820049812951528,,,,0,0.0,0.0,0.0
2021-02-10,242.82,135.39,1.7934854863727012,1.7778530416875067,,,,0,0.0,0.0,0.0
2021-02-11,244.49,135.13,1.8092947532006218,1.7874156097670373,,,,0,0.0,0.0,0.0
2021-02-12,244.99,135.37,1.8097806013149147,1.795174596365206,,,,0,0.0,0.0,0.0
2021-02-16,243.7,133.19,1.8297169457166453,1.806914494163856,,,,0,0.0,0.0,0.0
