date,MSFT,AAPL,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2010-01-04,30.95,7.64,4.051047120418848,,,,,0,0.0,0.0,0.0
2010-01-05,30.96,7.66,4.04177545691906,,,,,0,0.0,0.0,0.0
2010-01-06,30.77,7.53,4.086321381142098,,,,,0,0.0,0.0,0.0
2010-01-07,30.45,7.52,4.049202127659575,,,,,0,0.0,0.0,0.0
2010-01-08,30.66,7.57,4.0501981505944515,4.055708847346806,,,,0,0.0,0.0,0.0
2010-01-11,30.27,7.5,4.036,4.052699423263038,,,,0,0.0,0.0,0.0
2010-01-12,30.07,7.42,4.05256064690027,4.054856461259279,,,,0,0.0,0.0,0.0
2010-01-13,30.35,7.52,4.035904255319149,4.044773036094688,,,,0,0.0,0.0,0.0
2010-01-14,30.96,7.48,4.13903743315508,4.062740097193791,,,,0,0.0,0.0,0.0
2010-01-15,30.86,7.35,4.198639455782313,4.092428358231363,,,,0,0.0,0.0,0.0
2010-01-19,31.1,7.68,4.049479166666667,4.095124191564696,,,,0,0.0,0.0,0.0
2010-01-20,30.59,7.56,4.046296296296297,4.093871321443901,,,,0,0.0,0.0,0.0
2010-01-21,30.01,7.43,4.039030955585464,4.094496661497165,,,,0,0.0,0.0,0.0
2010-01-22,28.96,7.06,4.101983002832862,4.087085775432721,,,,0,0.0,0.0,0.0
2010-01-25,29.32,7.25,4.0441379310344825,4.056185470483155,,,,0,0.0,0.0,0.0
2010-01-26,29.5,7.36,4.008152173913043,4.047920071932429,,,,0,0.0,0.0,0.0
2010-01-27,29.67,7.42,3.9986522911051217,4.038391270894195,,,,0,0.0,0.0,0.0
2010-01-28,29.16,7.12,4.095505617977528,4.049686203372607,,,,0,0.0,0.0,0.0
2010-01-29,28.18,6.86,4.107871720116618,4.050863946829359,,,,0,0.0,0.0,0.0
2010-02-01,28.41,6.95,4.087769784172662,4.059590317456995,,,,0,0.0,0.0,0.0
2010-02-02,28.46,7.0,4.065714285714286,4.071102739817244,,,,0,0.0,0.0,0.0
2010-02-03,28.63,7.12,4.021067415730337,4.075585764742286,,,,0,0.0,0.0,0.0
2010-02-04,27.84,6.86,4.058309037900875,4.068146448726955,,,,0,0.0,0.0,0.0
2010-02-05,28.02,6.98,4.014326647564469,4.049437434216526,,,,0,0.0,0.0,0.0
2010-02-08,27.72,6.93,4.0,4.031883477381994,,,,0,0.0,0.0,0.0
2010-02-09,28.01,7.01,3.995720399429387,4.0178847001250135,,,,0,0.0,0.0,0.0
2010-02-10,27.99,6.97,4.0157819225251075,4.016827601483968,,,,0,0.0,0.0,0.0
2010-02-11,28.12,7.1,3.9605633802816906,3.9972784699601305,,,,0,0.0,0.0,0.0
2010-02-12,27.93,7.16,3.9008379888268156,3.9745807382126004,,,,0,0.0,0.0,0.0
2010-02-16,28.35,7.26,3.9049586776859506,3.9555724737497897,,,,0,0.0,0.0,0.0
2010-02-17,28.59,7.23,3.9543568464730288,3.9472997631585187,,,,0,0.0,0.0,0.0
2010-02-18,28.97,7.25,3.995862068965517,3.9433157924466,,,,0,0.0,0.0,0.0
2010-02-19,28.77,7.2,3.995833333333333,3.950369783056929,,,,0,0.0,0.0,0.0
2010-02-22,28.73,7.16,4.012569832402234,3.972716151772013,,,,0,0.0,0.0,0.0
2010-02-23,28.33,7.04,4.024147727272727,3.9965539616893677,,,,0,0.0,0.0,0.0
