date,PEP,KO,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2010-01-04,61.24,28.52,2.14726507713885,,,,,0,0.0,0.0,0.0
2010-01-05,61.98,28.18,2.1994322214336406,,,,,0,0.0,0.0,0.0
2010-01-06,61.36,28.17,2.1782037628682995,,,,,0,0.0,0.0,0.0
2010-01-07,60.97,28.1,2.1697508896797153,,,,,0,0.0,0.0,0.0
2010-01-08,60.77,27.58,2.203408266860044,2.17961204359611,,,,0,0.0,0.0,0.0
2010-01-11,60.7,28.14,2.1570717839374556,2.1815733849558305,,,,0,0.0,0.0,0.0
2010-01-12,61.55,28.44,2.164205344585091,2.1745280095861212,,,,0,0.0,0.0,0.0
2010-01-13,62.05,28.52,2.1756661991584854,2.1740204968441583,,,,0,0.0,0.0,0.0
2010-01-14,62.8,28.57,2.198109905495275,2.1796923000072703,,,,0,0.0,0.0,0.0
2010-01-15,62.29,28.15,2.212788632326821,2.1815683731006255,,,,0,0.0,0.0,0.0
2010-01-19,62.33,28.21,2.209500177242113,2.192054051761557,,,,0,0.0,0.0,0.0
2010-01-20,61.95,27.75,2.2324324324324327,2.2056994693310252,,,,0,0.0,0.0,0.0
2010-01-21,60.94,27.19,2.2412651710187568,2.2188192637030797,,,,0,0.0,0.0,0.0
2010-01-22,60.39,27.12,2.226769911504425,2.2245512649049095,,,,0,0.0,0.0,0.0
2010-01-25,60.23,27.18,2.2159676232523915,2.225187063090024,,,,0,0.0,0.0,0.0
2010-01-26,60.25,27.07,2.2257111193202808,2.2284292515056574,,,,0,0.0,0.0,0.0
2010-01-27,60.29,27.26,2.2116654438738075,2.224275853793932,,,,0,0.0,0.0,0.0
2010-01-28,59.74,27.09,2.2052417866371354,2.217071176917608,,,,0,0.0,0.0,0.0
2010-01-29,59.62,27.13,2.197567268706229,2.2112306483579687,,,,0,0.0,0.0,0.0
2010-02-01,60.7,27.19,2.23243839646929,2.2145248030013485,,,,0,0.0,0.0,0.0
2010-02-02,61.15,27.53,2.221213221939702,2.213625223525233,,,,0,0.0,0.0,0.0
2010-02-03,61.29,27.44,2.2336005830903787,2.218012251368547,,,,0,0.0,0.0,0.0
2010-02-04,59.64,26.72,2.2320359281437128,2.2233710796698625,,,,0,0.0,0.0,0.0
2010-02-05,59.51,26.55,2.2414312617702445,2.2321438782826655,,,,0,0.0,0.0,0.0
2010-02-08,58.96,26.33,2.2392707937713636,2.2335103577430804,,,,0,0.0,0.0,0.0
2010-02-09,60.05,27.01,2.223250647908182,2.2339178429367763,,,,0,0.0,0.0,0.0
2010-02-10,60.38,26.9,2.2446096654275096,2.2361196594042023,,,,0,0.0,0.0,0.0
2010-02-11,61.19,27.11,2.257100700848395,2.241132613945139,,,,0,0.0,0.0,0.0
2010-02-12,60.92,26.99,2.2571322712115602,2.244272815833402,,,,0,0.0,0.0,0.0
2010-02-16,61.31,27.41,2.2367748996716528,2.24377363701346,,,,0,0.0,0.0,0.0
2010-02-17,62.11,27.67,2.244669316949765,2.2480573708217766,,,,0,0.0,0.0,0.0
2010-02-18,62.53,27.96,2.2364091559370527,2.246417268923685,,,,0,0.0,0.0,0.0
2010-02-19,62.66,27.86,2.249102656137832,2.2448176599815723,,,,0,0.0,0.0,0.0
2010-02-22,62.41,27.69,2.253882267966775,2.244167659332615,,,,0,0.0,0.0,0.0
2010-02-23,61.78,27.42,2.2530999270605396,2.2474326648103924,,,,0,0.0,0.0,0.0
2010-02-24,62.08,27.58,2.2509064539521395,2.2486800922108676,,,,0,0.0,0.0,0.0
2010-02-25,62.3,26.56,2.345632530120482,2.2705247670475535,,,,0,0.0,0.0,0.0
2010-02-26,62.47,26.36,2.369878603945372,2.2946799566090617,,,,0,0.0,0.0,0.0
2010-03-01,63.43,26.64,2.381006006006006,2.320104704216908,,,,0,0.0,0.0,0.0
2010-03-02,63.8,26.65,2.3939962476547842,2.348283968335757,,,,0,0.0,0.0,0.0
2010-03-03,63.98,26.97,2.3722654801631444,2.3725557735779574,,,,0,0.0,0.0,0.0
2010-03-04,64.11,27.24,2.35352422907489,2.3741341133688394,,,,0,0.0,0.0,0.0
2010-03-05,64.37,27.35,2.353564899451554,2.370871372470076,,,,0,0.0,0.0,0.0
2010-03-08,64.15,27.23,2.3558575100991557,2.3658416732887053,,,,0,0.0,0.0,0.0
2010-03-09,64.36,27.09,2.37578442229605,2.362199308216959,,,,0,0.0,0.0,0.0
2010-03-10,64.43,27.1,2.3774907749077494,2.36324436716588,,,,0,0.0,0.0,0.0
