date,PG,ULVR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-01-04,137.82,44.61,3.089441829186281,,,,,0,0.0,0.0,0.0
2021-01-05,138.7,44.36,3.1266907123534713,,,,,0,0.0,0.0,0.0
2021-01-06,140.16,44.67,3.137676292813969,,,,,0,0.0,0.0,0.0
2021-01-07,138.85,44.47,3.122329660445244,,,,,0,0.0,0.0,0.0
2021-01-08,138.79,44.5,3.1188764044943817,3.1190029798586694,,,,0,0.0,0.0,0.0
2021-01-11,137.85,44.16,3.1216032608695654,3.125435266195326,,,,0,0.0,0.0,0.0
2021-01-12,137.05,43.21,3.1717195093728305,3.134441025599198,,,,0,0.0,0.0,0.0
2021-01-13,137.26,43.52,3.1539522058823524,3.137696208212875,,,,0,0.0,0.0,0.0
2021-01-14,135.8,43.54,3.118971061093248,3.1370244883424756,,,,0,0.0,0.0,0.0
2021-01-15,134.78,43.94,3.0673645880746476,3.126722125058529,,,,0,0.0,0.0,0.0
2021-01-19,133.6,43.81,3.0495320703035835,3.1123078869453322,,,,0,0.0,0.0,0.0
2021-01-20,131.93,43.53,3.0307833677923273,3.084120658629232,,,,0,0.0,0.0,0.0
2021-01-21,131.01,43.53,3.0096485182632664,3.0552599211054146,,,,0,0.0,0.0,0.0
2021-01-22,130.0,43.78,2.9693924166285974,3.025344192212484,,,,0,0.0,0.0,0.0
2021-01-25,132.24,44.65,2.9617021276595747,3.0042117001294697,,,,0,0.0,0.0,0.0
2021-01-26,133.09,44.23,3.009043635541488,2.9961140131770505,,,,0,0.0,0.0,0.0
2021-01-27,128.38,43.77,2.9330591729495086,2.9765691742084868,,,,0,0.0,0.0,0.0
2021-01-28,130.36,43.23,3.0154984964145273,2.977739169838739,,,,0,0.0,0.0,0.0
2021-01-29,128.21,42.4,3.0238207547169815,2.988624837456416,,,,0,0.0,0.0,0.0
2021-02-01,128.97,42.75,3.0168421052631578,2.999652832977133,,,,0,0.0,0.0,0.0
2021-02-02,128.79,42.97,2.9972073539678843,2.9972855766624122,,,,0,0.0,0.0,0.0
2021-02-03,128.95,43.36,2.973939114391144,3.005461564950739,,,,0,0.0,0.0,0.0
2021-02-04,129.03,40.67,3.1726088025571673,3.036883626179267,,,,0,0.0,0.0,0.0
2021-02-05,129.57,39.8,3.255527638190955,3.0832250028740615,,,,0,0.0,0.0,0.0
2021-02-08,129.17,39.55,3.265992414664981,3.133055064754426,,,,0,0.0,0.0,0.0
2021-02-09,128.67,39.5,3.2574683544303795,3.185107264846925,,,,0,0.0,0.0,0.0
2021-02-10,128.22,39.38,3.2559674961909595,3.2415129412068886,,,,0,0.0,0.0,0.0
2021-02-11,128.33,39.03,3.2879836023571616,3.2645879011668875,,,,0,0.0,0.0,0.0
2021-02-12,127.62,39.61,3.2219136581671295,3.2578651051621224,,,,0,0.0,0.0,0.0
2021-02-16,127.92,40.06,3.1932101847229153,3.2433086591737093,,,,0,0.0,0.0,0.0
2021-02-17,128.46,39.8,3.2276381909547744,3.2373426264785876,,,,0,0.0,0.0,0.0
2021-02-18,129.53,39.69,3.2635424540186446,3.2388576180441255,,,,0,0.0,0.0,0.0
2021-02-19,127.12,39.05,3.2553137003841233,3.2323236376495172,,,,0,0.0,0.0,0.0
2021-02-22,126.58,38.29,3.3058239749281797,3.249105701001727,,,,0,0.0,0.0,0.0
2021-02-23,127.52,39.2,3.2530612244897954,3.261075908955104,,,,0,0.0,0.0,0.0
2021-02-24,127.66,38.39,3.325345141964053,3.280617299156959,,,,0,0.0,0.0,0.0
2021-02-25,126.58,38.21,3.3127453546192096,3.290457879277072,,,,0,0.0,0.0,0.0
2021-02-26,123.53,37.33,3.309134744173587,3.301222088034965,,,,0,0.0,0.0,0.0
2021-03-01,124.29,37.74,3.293322734499205,3.2987218399491693,,,,0,0.0,0.0,0.0
2021-03-02,123.9,38.12,3.2502623294858344,3.2981620609483775,,,,0,0.0,0.0,0.0
2021-03-03,123.16,38.12,3.230849947534103,3.2792630220623877,,,,0,0.0,0.0,0.0
2021-03-04,122.15,38.54,3.1694343539180077,3.250600821922147,,,,0,0.0,0.0,0.0
2021-03-05,125.98,38.91,3.2377280904651764,3.2363194911804647,,,,0,0.0,0.0,0.0
2021-03-08,127.31,38.9,3.2727506426735222,3.2322050728153284,,,,0,0.0,0.0,0.0
2021-03-09,126.18,39.17,3.2213428644370694,3.2264211798055755,,,,0,0.0,0.0,0.0
2021-03-10,127.34,39.4,3.2319796954314723,3.226647129385049,,,,0,0.0,0.0,0.0
2021-03-11,126.91,39.16,3.2408069458631257,3.2409216477740737,,,,0,0.0,0.0,0.0
2021-03-12,128.14,39.5,3.244050632911392,3.2421861562633163,,,,0,0.0,0.0,0.0
2021-03-15,128.56,39.73,3.235841933048075,3.234804414338227,,,,0,0.0,0.0,0.0
2021-03-16,128.94,40.14,3.212257100149477,3.2329872614807087,,,,0,0.0,0.0,0.0
2021-03-17,128.42,40.25,3.19055900621118,3.2247031236366497,,,,0,0.0,0.0,0.0
2021-03-18,128.7,40.04,3.214285714285714,3.2193988773211677,,,,0,0.0,0.0,0.0
2021-03-19,128.01,39.52,3.23911943319838,3.2184126373785653,,,,0,0.0,0.0,0.0
2021-03-22,130.18,40.22,3.236698160119344,3.2185838827928195,,,,0,0.0,0.0,0.0
2021-03-23,132.6,40.74,3.254786450662739,3.227089752895471,,,,0,0.0,0.0,0.0
2021-03-24,132.56,40.56,3.2682445759368837,3.242626866840612,,,,0,0.0,0.0,0.0
2021-03-25,133.48,40.6,3.287684729064039,3.2573066697962774,,,,0,0.0,0.0,0.0
2021-03-26,135.45,40.44,3.349406528189911,3.2793640887945834,,,,0,0.0,0.0,0.0
2021-03-29,137.57,40.98,3.3570034163006346,3.3034251400308414,,,,0,0.0,0.0,0.0
2021-03-30,135.45,40.62,3.3345642540620384,3.3193807007107012,3.1825891855623225,0.1120105886204773,1.221237356513374,-2,1.0,0.0,0.0
2021-03-31,135.43,40.56,3.3390039447731756,3.3335325744779594,3.1867485541554377,0.11312113440510575,1.2975826408959399,-2,1.0,0.0,0.0
2021-04-01,134.28,40.22,3.338637493784187,3.3437231274219896,3.190281000512616,0.11451457511263684,1.3399353467316075,-2,1.0,0.0,0.0
2021-04-05,136.45,40.22,3.392590750870214,3.3523599719580495,3.194529574813554,0.11722646803594002,1.3463716837063369,-2,1.0,0.0,0.0
2021-04-06,136.5,40.885,3.3386327503974567,3.3486858387774143,3.1981346263127572,0.11828963000830169,1.2727338182906756,-2,1.0,0.0,0.0
2021-04-07,136.74,41.335,3.308092415628402,3.343391471090687,3.2012882264983245,0.11866245358372712,1.1975417691165111,-2,1.0,0.0,0.0
2021-04-08,137.26,41.66,3.2947671627460395,3.33454411468526,3.2041742915295988,0.11879727433905721,1.0974142620778922,-2,1.0,0.0,0.0
2021-04-09,136.37,41.31,3.3011377390462355,3.327044163737669,3.2063312620241557,0.11937153203762459,1.0112369310587885,-2,1.0,0.0,0.0
2021-04-12,136.92,41.355,3.3108451215088865,3.310695037865404,3.2089461439512643,0.1199218334294732,0.8484601261035501,0,1.0,0.0,0.0
2021-04-13,135.11,41.38,3.2651039149347514,3.295989270772863,3.2113816915152897,0.11954686961446256,0.7077356314760203,0,1.0,0.0,0.0
2021-04-14,135.6,41.19,3.2920611798980337,3.2927830236267894,3.215126634712346,0.11847352316894846,0.6554746312701619,0,1.0,0.0,0.0
2021-04-15,137.24,41.655,3.294682511103109,3.292766093298203,3.2192124753923386,0.11688241939793532,0.6292958195487484,0,1.0,0.0,0.0
2021-04-16,137.25,41.64,3.2961095100864553,3.2917604475062476,3.223634577763907,0.11463004781671716,0.5943107504523382,0,1.0,0.0,0.0
2021-04-19,136.61,41.32,3.306147144240078,3.290820852052485,3.228576221530187,0.1115997633240012,0.5577487681724453,0,1.0,0.0,0.0
2021-04-20,137.75,41.28,3.3369670542635657,3.3051934799182483,3.23470246549077,0.1071302390691599,0.6579936257023717,0,1.0,0.0,0.0
2021-04-21,136.85,41.395,3.305954825462012,3.307972209031044,3.2404400104541438,0.10132252148720862,0.6665072837278899,0,1.0,0.0,0.0
2021-04-22,134.63,41.315,3.258622776231393,3.3007602620567007,3.2445996627989753,0.0966784918556788,0.5809006551484245,0,1.0,0.0,0.0
2021-04-23,133.94,41.135,3.256107937279689,3.2927599474953473,3.249983808871145,0.08760395648252281,0.4882900309729299,0,1.0,0.0,0.0
2021-04-26,131.26,40.86,3.2124326970141945,3.2740170580501706,3.2532660455478064,0.08219170211322015,0.2524708938839036,0,1.0,0.0,0.0
2021-04-27,131.18,40.525,3.237014188772363,3.2540264849519303,3.2568192694487292,0.07651681273526267,-0.03649896535107417,0,1.0,0.0,0.0
2021-04-28,131.4,40.775,3.2225628448804415,3.237348088835616,3.260247948442351,0.06990473519445516,-0.32758667267723696,0,1.0,0.0,0.0
2021-04-29,132.51,42.13,3.1452646570140037,3.214676464992138,3.262715570159786,0.06270445902339761,-0.7661194421551859,0,1.0,0.0,0.0
2021-04-30,133.42,42.315,3.153019023986766,3.1940586823335537,3.265700235319713,0.05208957392223139,-1.3753530234883173,-2,1.0,0.0,0.0
2021-05-03,135.0,42.315,3.1903580290677067,3.189643748744256,3.2659960557615553,0.051600039675731096,-1.4796947346769131,-2,1.0,0.0,0.0
2021-05-04,134.54,42.04,3.200285442435775,3.1822979994769387,3.265075352498969,0.052278380799986965,-1.583395502219744,-1,0.99988,0.002229820127843021,-0.007136060894386299
2021-05-05,133.46,42.215,3.1614355087054364,3.170072532241938,3.2633327373996437,0.05396277603086911,-1.7282321633037716,-1,0.996222983605412,0.002229820127843021,-0.007136060894386299
2021-05-06,135.14,43.045,3.139505169009176,3.1689206346409717,3.26136668430929,0.05627924391472115,-1.642631336845958,-1,0.9940461508778475,0.002229820127843021,-0.007136060894386299
2021-05-07,135.15,42.73,3.162883220219986,3.170893473887616,3.259815279709774,0.05769576469107072,-1.541218949056063,-1,0.9963163082608578,0.002229820127843021,-0.007136060894386299
2021-05-10,137.67,42.785,3.2177164894238635,3.176365165958847,3.258644161160886,0.05782730531466801,-1.4228398635266928,-2,1.0015429716338309,0.002229820127843021,-0.007136060894386299
2021-05-11,136.99,42.205,3.24582395450776,3.1854728683732447,3.259042666099896,0.05765201521382088,-1.2761010600200937,-2,1.0041656092656417,0.002229820127843021,-0.007136060894386299
2021-05-12,135.54,42.445,3.19330898810225,3.1918475642526074,3.259044312822885,0.05765010433947801,-1.1655963044677853,-2,0.9992197154656165,0.002229820127843021,-0.007136060894386299
2021-05-13,137.72,42.765,3.2203905062551152,3.2080246317017953,3.2589235180778906,0.05772457017038234,-0.881754272502332,0,1.0016747309636798,0.0,0.0
2021-05-14,138.01,42.94,3.214019562179786,3.2182519000937546,3.2580981365472423,0.058010751412302115,-0.686876751005809,0,1.0016747309636798,0.0,0.0
2021-05-17,137.73,43.105,3.195220972045006,3.213752796617983,3.2570965910749243,0.05857563394289109,-0.7399628743104979,0,1.0016747309636798,0.0,0.0
2021-05-18,136.32,42.79,3.1857910726805327,3.201746220252538,3.2550960427041304,0.05893190209767702,-0.9052791536096613,0,1.0016747309636798,0.0,0.0
2021-05-19,136.6,42.815,3.1904706294522946,3.2011785485225466,3.2540528661201717,0.059519571843822894,-0.8883517800895038,0,1.0016747309636798,0.0,0.0
2021-05-20,138.0,42.965,3.2119166763644826,3.1994837825444207,3.2521623916935125,0.05901603097270495,-0.8926152484475924,0,1.0016747309636798,0.0,0.0
2021-05-21,138.0,42.775,3.2261835184102865,3.2019165737905206,3.250719694423364,0.0585662520294603,-0.8332976576389761,0,1.0016747309636798,0.0,0.0
2021-05-24,137.96,42.705,3.230535066151505,3.2089793926118206,3.2494096997896618,0.058114802040276456,-0.6956972364772216,0,1.0016747309636798,0.0,0.0
2021-05-25,138.43,43.065,3.214443283408801,3.214709834757474,3.248095042271489,0.05799665083088328,-0.5756402660451152,0,1.0016747309636798,0.0,0.0
2021-05-26,138.12,43.035,3.209480655280586,3.2185118399231323,3.247415347701401,0.05820940188702439,-0.49654363111935435,0,1.0016747309636798,0.0,0.0
2021-05-27,134.98,41.9,3.2214797136038187,3.2204244473709998,3.2472591771358967,0.05826713974842273,-0.4605465427127541,0,1.0016747309636798,0.0,0.0
2021-05-28,134.85,42.265,3.1905832248905712,3.2133043886670563,3.247611658318773,0.05785084866263414,-0.5930296693102043,0,1.0016747309636798,0.0,0.0
2021-06-01,132.88,42.4,3.1339622641509433,3.193989828266944,3.245882227880202,0.059673627151977535,-0.8696035768212628,0,1.0016747309636798,0.0,0.0
2021-06-02,133.46,42.5,3.1402352941176472,3.179148230408713,3.243673638737604,0.06109762343997936,-1.0561034078891607,-2,1.0016747309636798,0.0,0.0
2021-06-03,135.85,42.68,3.1829896907216493,3.173850037496926,3.2430344191756806,0.06153428392310639,-1.1243225283194642,-2,1.0016747309636798,0.0,0.0
2021-06-04,135.95,42.73,3.181605429440674,3.165875180664297,3.242194848075834,0.062029331342729324,-1.2303803016971042,-2,1.0016747309636798,0.0,0.0
2021-06-07,136.42,42.66,3.1978434130332865,3.16732721829284,3.2414787891953365,0.06229304691744773,-1.1903667354843623,-2,1.0016747309636798,0.0,0.0
2021-06-08,134.84,42.77,3.1526771101239186,3.1710701874874347,3.239955897148879,0.06333726910137712,-1.0876015123289613,-2,1.0016747309636798,0.0,0.0
2021-06-09,134.79,42.76,3.152245088868101,3.173472146437526,3.238562616412546,0.06434082409813824,-1.0116511699591884,-2,1.0016747309636798,0.0,0.0
2021-06-10,135.79,42.805,3.1722929564303235,3.1713327995792606,3.2378965473505597,0.0648228127165486,-1.0268568268143967,-2,1.0016747309636798,0.0,0.0
2021-06-11,134.86,42.735,3.1557271557271562,3.166157144836557,3.2373160165091597,0.06540727309060222,-1.087935153236449,-2,1.0016747309636798,0.0,0.0
2021-06-14,134.91,42.95,3.1410942956926657,3.154807321368433,3.2360961595326088,0.0665171715678166,-1.2220729812797109,-2,1.0016747309636798,0.0,0.0
2021-06-15,134.65,43.375,3.1043227665706055,3.1451364526577708,3.2338495484221457,0.06865533715963924,-1.2921514835488583,-2,1.0016747309636798,0.0,0.0
2021-06-16,132.78,43.47,3.054520358868185,3.1255915066577873,3.2308132517346264,0.07245073857605343,-1.45232122052676,-2,1.0016747309636798,0.0,0.0
2021-06-17,133.99,43.52,3.078814338235294,3.106895783018781,3.227880383194169,0.0749813891099175,-1.6135283916657375,-1,1.0015547309636799,0.002238973057690872,-0.006893382352941175
2021-06-18,132.03,43.07,3.0654748084513583,3.088845313563622,3.2245008870694103,0.0776532227349887,-1.7469406771274325,-1,1.0002683658294294,0.002238973057690872,-0.006893382352941175
2021-06-21,133.07,43.045,3.0914159600418163,3.078909646433452,3.22122974091904,0.07906752458019779,-1.7999816642954778,-1,1.0027692323682513,0.002238973057690872,-0.006893382352941175
2021-06-22,133.12,43.145,3.08540966508286,3.0751270261359025,3.2168297932005894,0.07915924359663903,-1.7900975379040045,-1,1.0021918427858418,0.002238973057690872,-0.006893382352941175
2021-06-23,132.93,42.615,3.119324181626188,3.0880877906875033,3.2128684726226817,0.07796371831026506,-1.6004968033797489,-1,1.0054199305519393,0.002238973057690872,-0.006893382352941175
2021-06-24,133.02,42.485,3.130987407320231,3.098522404504491,3.209475525176985,0.07700165759670302,-1.4409186001373138,-2,1.006517577833014,0.002238973057690872,-0.006893382352941175
2021-06-25,134.92,42.59,3.1678797839868507,3.119003399611589,3.206623455830546,0.07527245397463068,-1.164038789654555,-2,1.0100478214955677,0.002238973057690872,-0.006893382352941175
2021-06-28,135.32,42.84,3.158730158730158,3.1324662393492573,3.2036250002463125,0.07348667754865912,-0.9683219227041188,0,1.0091004070635754,0.0,0.0
2021-06-29,134.4,42.745,3.1442273950169612,3.1442297853360777,3.1994856109820917,0.06955173209903495,-0.7944564999090906,0,1.0091004070635754,0.0,0.0
2021-06-30,134.93,42.305,3.189457510932514,3.158256451197343,3.196999356991009,0.06711701288392745,-0.5772441908382918,0,1.0091004070635754,0.0,0.0
2021-07-01,135.24,42.61,3.1739028397089886,3.166839537675094,3.1947628640590193,0.06557032440141143,-0.42585310716144753,0,1.0091004070635754,0.0,0.0
2021-07-02,135.9,42.7,3.182669789227166,3.1697975387231576,3.192894574500371,0.06425644219299267,-0.3594508968897184,0,1.0091004070635754,0.0,0.0
2021-07-06,135.98,42.92,3.1682199440820127,3.1716954957935286,3.190679277917634,0.06273462183272345,-0.3026045518330229,0,1.0091004070635754,0.0,0.0
2021-07-07,137.0,43.6,3.142201834862385,3.171290383762613,3.187868556473526,0.06101382963961017,-0.27171172189706505,0,1.0091004070635754,0.0,0.0
