date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score
2020-01-03,138.34,34.9,3.9638968481375363,3.9521303703086743,3.962549027958984,0.034615970682296396,-0.30097834742037743
2020-01-06,138.23,34.85,3.966427546628407,3.9582023011336487,3.961350070313153,0.03316072586640235,-0.09492461631226133
2020-01-07,135.88,34.62,3.9248989023685734,3.9543911854480465,3.959858197889243,0.03274401193732696,-0.16696220523191949
2020-01-08,136.94,34.97,3.915927938232771,3.945981088824299,3.9581687459662116,0.03234288468555481,-0.3768265341945742
2020-01-09,137.44,35.03,3.9234941478732512,3.938929076648108,3.956956563095602,0.03225521797189253,-0.558901398936543
2020-01-10,136.07,34.74,3.9168105929763954,3.9295118256158794,3.954987047975739,0.030993333023281954,-0.8219581398593936
2020-01-13,137.2,35.06,3.913291500285225,3.9188846163472433,3.954094331460219,0.03141425800199705,-1.120819568959331
2020-01-14,138.8,35.32,3.9297848244620615,3.9198618007659407,3.953304118190898,0.03141957844847654,-1.064378297748261
2020-01-15,136.72,34.67,3.9434669743293913,3.9253696079852647,3.9528231861046255,0.0313442834782883,-0.8758719317472179
2020-01-16,137.25,34.72,3.953052995391705,3.9312813774889555,3.952325498546626,0.031094470999831744,-0.6767801599771313
2020-01-17,138.2,34.71,3.9815615096513968,3.944231560823956,3.9520235322544908,0.030712437321165544,-0.2537073612573538
2020-01-21,136.84,34.26,3.994162288382954,3.9604057184435013,3.952223287771673,0.03094993939183274,0.2643763067913258
2020-01-22,136.68,34.36,3.9778812572759024,3.9700250050062698,3.9520725417194686,0.030799712313600798,0.5828776289859536
2020-01-23,136.54,34.12,4.0017584994138335,3.9816833100231586,3.9525484662683374,0.031347511239190724,0.92941489142515
2020-01-24,133.15,33.54,3.969886702444842,3.985050051433786,3.9524915109740766,0.03131224593308875,1.039802144160587
2020-01-27,132.03,32.85,4.019178082191781,3.9925733659418627,3.953772584197177,0.03244081698107805,1.1960482304535414
2020-01-28,134.43,33.24,4.044223826714801,4.002585673608232,3.954904967393847,0.034368358082016034,1.3873431515291181
2020-01-29,134.23,33.01,4.066343532262951,4.020278128605641,3.9560959716864934,0.036920674794397916,1.7383798448040875
2020-01-30,135.89,33.48,4.05884109916368,4.031694648555611,3.956762191263749,0.038403444772742185,1.9511910385978426
2020-01-31,132.36,32.83,4.031678342978983,4.04405297666244,3.9576913982146342,0.0395328709360925,2.1845511444745447
2020-02-03,133.37,32.97,4.045192599332727,4.049255880090628,3.959551656751146,0.04097857060311163,2.1890520342520374
2020-02-04,135.29,33.62,4.024092801903629,4.045229675128394,3.9608986136355724,0.04175536839965936,2.0196459694871147
2020-02-05,137.59,34.71,3.9639873235378853,4.024758433383381,3.961762942435434,0.04126254112146116,1.5266992588389656
2020-02-06,137.61,34.67,3.969137582924719,4.006817730135589,3.9625815012689056,0.040906111763827774,1.081408790991485
2020-02-07,137.17,34.61,3.9633054030626984,3.9931431421523316,3.963376394414184,0.0404386436334503,0.7360965913684777
2020-02-10,137.74,34.69,3.970596713750361,3.978223965035858,3.964498105534361,0.03966993062908374,0.3460016008052722
2020-02-11,138.0,34.77,3.968938740293356,3.9671931527138042,3.9653426217965437,0.03920571186302682,0.04720054373010023
2020-02-12,138.0,34.92,3.951890034364261,3.9647736948790793,3.965662093826978,0.03901301550821401,-0.02277186052721021
2020-02-13,137.88,34.91,3.949584646233171,3.9608631075407694,3.9659302497134328,0.03884309465875645,-0.13045155689007545
2020-02-14,137.46,34.85,3.944332855093257,3.9570685979468814,3.965619373350101,0.03894157967827218,-0.21957957211454507
2020-02-18,135.64,34.27,3.9579807411730368,3.9545454034314163,3.9655160975022157,0.038953683969189454,-0.2816343142147154
2020-02-19,137.49,34.72,3.9599654377880187,3.9527507429303492,3.9654249738972855,0.03896027635256616,-0.32531162901008315
2020-02-20,137.49,34.85,3.94519368723099,3.9514114735036947,3.9652372763174366,0.03903128369453414,-0.3542236253858605
2020-02-21,135.81,34.36,3.95256111757858,3.952006767772777,3.9654160877908433,0.038946726983681186,-0.3442990221921613
2020-02-24,132.16,32.73,4.037885731744577,3.9707173431030407,3.9672376371591787,0.0397429910740351,0.0875552103609888
2020-02-25,126.26,31.08,4.062419562419563,3.9916051073523455,3.9691425309156467,0.04151116648468573,0.5411213015414943
2020-02-26,126.64,30.63,4.13450865164871,4.026513750124484,3.9721922412378587,0.04660417681737217,1.165593141994437
2020-02-27,121.37,29.13,4.166495022313766,4.070774017141039,3.97572746239807,0.05285597611057367,1.7982177558150345
2020-02-28,116.11,28.5,4.074035087719298,4.095068811169183,3.9780831274606165,0.054041911099449315,2.1647214417211535
2020-03-02,121.52,29.37,4.137555328566564,4.115002730533581,3.9811775839111476,0.057707887525692385,2.319009625206819
2020-03-03,116.96,27.75,4.214774774774774,4.145473773004623,3.9848878824449754,0.0651078558592914,2.4664595146044994
2020-03-04,119.85,28.39,4.221556886227544,4.162883419920389,3.9882279234267775,0.07179662229788948,2.432642245605274
2020-03-05,113.97,26.78,4.2557879014189695,4.18074199574143,3.9923128549388935,0.07964040475562745,2.365999286175425
2020-03-06,108.08,25.71,4.203811746402178,4.206697327478007,3.995525692709677,0.0841683875400065,2.5089186206395677
2020-03-09,93.44,21.93,4.260829913360693,4.231352244436832,3.999683972357248,0.09085970812802152,2.5497360364966464
2020-03-10,100.7,23.61,4.2651418890300725,4.241425667287891,4.004291271776081,0.09708876060294323,2.442449507431671
2020-03-11,95.96,22.67,4.232906925452139,4.243695675132811,4.008509462940383,0.10140921313538714,2.3191799336657963
2020-03-12,88.05,20.51,4.293027791321307,4.251143653113278,4.013852996202629,0.10772537333216552,2.202736918617826
2020-03-13,103.91,24.16,4.3009105960264895,4.270563423038141,4.019569421602302,0.11364485934438484,2.2085820941115895
2020-03-16,88.36,20.44,4.322896281800391,4.282976696726079,4.0258928071208935,0.11973236837219169,2.1471544670863993
2020-03-17,93.76,21.98,4.265696087352138,4.283087536390493,4.031460351802814,0.1229976830826369,2.0457880041416865
2020-03-18,83.89,20.79,4.035113035113035,4.243528758322673,4.033213904772389,0.12227308167774399,1.7200421439002997
2020-03-19,85.3,21.2,4.023584905660377,4.189640181190486,4.034846498356432,0.12146353504470661,1.2744045591714461
2020-03-20,83.5,19.67,4.245043213014743,4.1784667045881365,4.040579684690299,0.12314794497511292,1.119685918637968
