date,WMT,TGT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2010-01-04,54.23,48.55,1.1169927909371782,,,,,0,0.0,0.0,0.0
2010-01-05,53.69,48.73,1.1017853478350093,,,,,0,0.0,0.0,0.0
2010-01-06,53.57,49.66,1.0787354007249297,,,,,0,0.0,0.0,0.0
2010-01-07,53.6,50.27,1.0662422916252237,,,,,0,0.0,0.0,0.0
2010-01-08,53.33,50.07,1.0651088476133412,1.0857729357471364,,,,0,0.0,0.0,0.0
2010-01-11,54.21,50.18,1.0803108808290156,1.0784365537255038,,,,0,0.0,0.0,0.0
2010-01-12,54.73,49.34,1.109241994325091,1.0799278830235202,,,,0,0.0,0.0,0.0
2010-01-13,55.01,49.34,1.1149169031211996,1.087164183502774,,,,0,0.0,0.0,0.0
2010-01-14,54.21,50.1,1.0820359281437126,1.090322910806472,,,,0,0.0,0.0,0.0
2010-01-15,53.68,50.17,1.0699621287622085,1.0912935670362454,,,,0,0.0,0.0,0.0
2010-01-19,54.03,51.2,1.0552734375,1.0862860783704424,,,,0,0.0,0.0,0.0
2010-01-20,53.86,50.72,1.0619085173501577,1.0768193829754558,,,,0,0.0,0.0,0.0
2010-01-21,52.92,50.22,1.053763440860215,1.0645886905232587,,,,0,0.0,0.0,0.0
2010-01-22,52.94,50.38,1.0508138150059547,1.0583442678957071,,,,0,0.0,0.0,0.0
2010-01-25,52.88,50.77,1.0415599763639944,1.0526638374160642,,,,0,0.0,0.0,0.0
2010-01-26,53.61,52.02,1.0305651672433678,1.0477221833647379,,,,0,0.0,0.0,0.0
2010-01-27,53.4,51.96,1.0277136258660509,1.0408832050679167,,,,0,0.0,0.0,0.0
2010-01-28,52.61,51.91,1.0134848776728955,1.0328274924304526,,,,0,0.0,0.0,0.0
2010-01-29,53.43,51.27,1.0421299005266238,1.0310907095345865,,,,0,0.0,0.0,0.0
2010-02-01,53.48,51.09,1.0467801918183597,1.0321347526254594,,,,0,0.0,0.0,0.0
2010-02-02,53.49,50.82,1.052538370720189,1.036529393320824,,,,0,0.0,0.0,0.0
2010-02-03,54.27,50.6,1.0725296442687748,1.0454925970013687,,,,0,0.0,0.0,0.0
2010-02-04,52.97,49.07,1.0794782963113918,1.0586912807290676,,,,0,0.0,0.0,0.0
2010-02-05,53.45,49.3,1.0841784989858014,1.0671010004209034,,,,0,0.0,0.0,0.0
2010-02-08,52.93,48.78,1.0850758507585077,1.0747601322089329,,,,0,0.0,0.0,0.0
2010-02-09,53.25,49.14,1.0836385836385836,1.080980174792612,,,,0,0.0,0.0,0.0
2010-02-10,53.24,48.95,1.0876404494382022,1.0840023358264972,,,,0,0.0,0.0,0.0
2010-02-11,53.08,49.16,1.079739625711961,1.0840546017066113,,,,0,0.0,0.0,0.0
2010-02-12,52.9,48.64,1.0875822368421053,1.084735349277872,,,,0,0.0,0.0,0.0
2010-02-16,53.56,50.09,1.0692753044519865,1.0815752400165677,,,,0,0.0,0.0,0.0
2010-02-17,54.06,50.6,1.0683794466403163,1.078523412616914,,,,0,0.0,0.0,0.0
2010-02-18,53.47,50.74,1.053803705163579,1.0717560637619896,,,,0,0.0,0.0,0.0
2010-02-19,53.49,50.73,1.0544056771141337,1.066689274042424,,,,0,0.0,0.0,0.0
2010-02-22,53.83,50.64,1.062993680884676,1.0617715628509383,,,,0,0.0,0.0,0.0
2010-02-23,53.62,50.06,1.0711146624051138,1.0621394344415638,,,,0,0.0,0.0,0.0
2010-02-24,53.92,50.99,1.0574622474995097,1.0599559946134025,,,,0,0.0,0.0,0.0
2010-02-25,54.15,50.95,1.0628066732090284,1.0617565882224924,,,,0,0.0,0.0,0.0
2010-02-26,54.07,51.52,1.0494953416149069,1.060774521122647,,,,0,0.0,0.0,0.0
2010-03-01,53.9,52.24,1.0317764165390504,1.054531068253522,,,,0,0.0,0.0,0.0
2010-03-02,53.59,51.67,1.037158892974647,1.0477399143674284,,,,0,0.0,0.0,0.0
2010-03-03,53.66,51.68,1.038312693498452,1.0439100035672169,,,,0,0.0,0.0,0.0
2010-03-04,53.96,52.94,1.0192670948243294,1.035202087890277,,,,0,0.0,0.0,0.0
2010-03-05,54.14,53.49,1.0121518040755282,1.0277333803824014,,,,0,0.0,0.0,0.0
2010-03-08,54.15,53.48,1.012528047868362,1.0238837066482636,,,,0,0.0,0.0,0.0
2010-03-09,54.06,52.86,1.0227014755959138,1.020992223172517,,,,0,0.0,0.0,0.0
2010-03-10,53.63,52.64,1.018806990881459,1.0170910826491186,,,,0,0.0,0.0,0.0
2010-03-11,53.97,52.81,1.0219655368301457,1.0176307710502817,,,,0,0.0,0.0,0.0
2010-03-12,53.9,53.08,1.0154483798040694,1.01829008619599,,,,0,0.0,0.0,0.0
